ESTADO,SCORE_ADVANCE,EXPERIENCIA_SF,BGI60_12,NUMCUENTASINBB,ANTIGUEDADMAXIMAPASIVOS,MAXIMAANTIGUEDADCTASABIERTAS,NUMSUSCRIPTORSECTORFINAN,MAXIATRASOU12MSECREAL,MAXANTIGCARTERASCERRADASU12M,MINIMAANTIGUEDADCTASCERRADAS,ANTIGUEDADMAXIMACREDITO,CONTMORA30SECREALU12M,VLR_COUTA_DATACREDITO,PORCENTAJEDECUENTASALDIA,VTAR_PROMEDIOLIMITES,VREAL_SUMASALDOACTUAL,VPRO_ENDSISTEMASINBB
b'APROBADO',731.0,b'Cliente Sin Experiencia',0.0,0.0,15.0,-999.0,-999.0,0.0,-999.0,-999.0,13.0,0.0,109000.0,100.0,0.0,0.0,0.0
b'APROBADO',556.0,b'Cliente Con Experiencia',0.0,25.0,53.0,24.0,4.0,0.0,-999.0,52.0,48.0,0.0,7899000.0,100.0,6460000.0,1780000.0,32547000.0
b'APROBADO',808.0,b'Cliente Con Experiencia',0.0,3.0,50.0,23.0,2.0,0.0,-999.0,-999.0,23.0,0.0,40000.0,100.0,2695000.0,0.0,1928400.0
b'APROBADO',735.0,b'Cliente Con Experiencia',1.0,2.0,8.0,17.0,1.0,0.0,-999.0,-999.0,-999.0,0.0,634000.0,100.0,0.0,1468000.0,-999.0
b'APROBADO',513.0,b'Cliente Sin Experiencia',0.0,2.0,16.0,6.0,1.0,2.0,-999.0,-999.0,6.0,2.0,0.0,50.0,1000000.0,34000.0,200000.0
b'APROBADO',689.0,b'Cliente Sin Experiencia',1.0,10.0,29.0,10.0,5.0,0.0,-999.0,-999.0,12.0,0.0,1647000.0,100.0,2282000.0,1130000.0,6960600.0
b'APROBADO',665.0,b'Cliente Con Experiencia',0.0,1.0,17.0,15.0,1.0,0.0,-999.0,-999.0,15.0,0.0,115000.0,100.0,100000.0,329000.0,20000.0
b'APROBADO',611.0,b'Cliente Con Experiencia',0.0,5.0,45.0,15.0,5.0,0.0,-999.0,-999.0,17.0,0.0,2220000.0,100.0,900000.0,2835000.0,13785000.0
b'APROBADO',683.0,b'Cliente Sin Experiencia',0.0,0.0,31.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,22000.0,100.0,0.0,22000.0,-999.0
b'APROBADO',849.0,b'Cliente Con Experiencia',0.0,1.0,52.0,16.0,1.0,0.0,-999.0,-999.0,16.0,0.0,451000.0,100.0,2725000.0,0.0,1422800.0
